[2014/06/30 12:56:03] Start running sift_select_features(covdet, hessian)
[2014/06/30 12:58:53] Start running sift_select_features(covdet, hessian)
[2014/06/30 13:33:24] Finish running sift_select_features(covdet, hessian). Elapsed time: 00:34:30
[2014/06/30 15:28:58] Start running sift_select_features(fspace, hesaff)
[2014/06/30 15:30:42] Start running sift_select_features(fspace, hesaff)
[2014/06/30 15:32:01] Start running sift_select_features(fspace, hesaff)
[2014/06/30 15:35:29] Start running sift_select_features(fspace, hesaff)
[2014/06/30 15:38:40] Start running sift_select_features(fspace, hesaff)
[2014/06/30 15:45:41] Start running sift_select_features(fspace, hesaff)
[2014/06/30 15:47:05] Start running sift_select_features(fspace, hesaff)
[2014/06/30 16:07:55] Finish running sift_select_features(fspace, hesaff). Elapsed time: 00:20:49
